16 25 53 -23 27 30 Rho Ophiuchus
16 29 04 -08 08 23 Struve 2048
16 31 09 +01 58 24 Lambda Ophiuchus
16 55 53 -05 10 24 Struve 3106
16 58 13 -27 37 06 h 4902
16 59 05 +03 57 35 Struve 3107
17 02 13 +08 26 37 Struve 2114
17 06 46 -13 56 29 Struve 2119
17 07 08 -01 39 46 Struve 2122
17 11 06 -24 57 21 h 589
17 13 01 -04 03 32 Struve 2132
17 20 10 -17 45 40 BU 126
17 21 13 -27 20 57 BU 127
17 21 04 -09 02 32 Aitken 28
17 21 19 -21 07 03 DON 832
17 24 12 -00 50 21 Struve 2156
17 28 06 +11 23 12 Struve 2166
17 28 57 +10 28 51 Struve 2170
17 29 33 -09 59 38 Struve 2171
17 32 17 +02 49 14 Otto Struve 331
17 36 05 +00 59 37 Struve 2186
17 36 29 +06 37 07 Struve 2188
17 40 03 -04 58 13 Struve 2191
17 46 41 +05 41 55 Struve 2212
17 46 55 -01 12 57 Struve 2211
17 49 12 +04 57 42 Struve 2223
17 52 20 +01 06 37 S 694
17 53 15 -02 15 30 Struve 2235
17 59 16 +02 02 17 Struve 2252
18 03 20 -08 10 49 Tau Ophiuchus
18 05 57 +12 00 16 Struve 2276
18 31 41 +06 27 53 Struve 2329
18 37 30 +07 31 59 Struve 2346
