15 54 07 -25 20 30 2
16 03 23 -25 01 40 Beta 38
16 04 52 -11 23 11 Xi
16 04 55 -11 27 48 Struve 1999
16 08 05 -12 45 31 11
16 12 48 -28 25 48 12
16 14 16 -24 26 04 B 307
16 15 17 -39 08 36 Lambda 268
16 20 05 -30 55 06 55G (Brs 12)
16 21 07 -39 26 33 I 91
16 24 20 -41 15 31 h 4845
16 24 30 -33 12 39 h 4848
16 25 12 -29 42 57 h 4850
16 29 55 -26 26 34 Alpha (Antares)
16 33 33 -33 32 34 I 95
16 39 02 -43 24 30 h 4867
16 44 49 -27 27 54 Beta 1116
16 50 08 -43 57 11 I 99
16 50 05 -31 39 35 I 993
16 51 34 -37 31 22 h 4889
16 55 41 -31 13 50 I 557
16 57 34 -38 26 51 Lambda 313
17 14 29 -38 18 03 Hwe 86
17 15 03 -39 46 21 h 4926
17 16 53 -42 20 39 I 408
17 25 00 -30 31 57 Hld 28
17 30 40 -33 43 12 Hwe 39
17 31 55 -39 01 18 Hwe 87
17 32 18 -41 02 35 Hld 136
17 33 52 -45 30 52 I 603
17 51 45 -30 33 30 Stn 37
17 56 27 -39 56 01 Co 222
17 58 31 -36 00 29 R 306
