00 49 24 +57 50 38 Eta Cassiopeia
00 50 10 +27 44 38 65 Pisces
01 05 52 +21 29 36 Psi 1 Pisces
01 13 58 +07 36 35 Zeta Pisces
01 53 46 +19 19 28 Gamma Aries
01 58 11 +23 37 27 Lambda Aries
02 02 16 +02 47 26 Alpha Pisces
02 04 13 +42 21 26 Gamma Andromeda
02 12 42 +30 19 24 Iota Triangulum
02 37 24 +89 17 19 Alpha Ursa Minor
02 43 34 +03 15 16 Gamma Cetus
02 51 04 +55 55 14 Eta Perseus
03 01 16 +52 22 11 Struve 331
03 54 33 -02 56 08 32 Eridanus
04 22 54 +25 38 41 Chi Taurus
04 32 24 +53 55 38 1 Camelopardalis
04 43 50 -08 47 27 55 Eridanus
05 14 44 -08 11 40 Beta Orion
05 29 36 +25 09 13 118 Taurus
05 32 15 -00 17 48 Delta Orion
05 35 15 -05 59 49 Struve 747
05 35 23 +09 56 11 Lambda Orion
05 35 33 -05 22 49 Theta 1 Orion
05 35 39 -05 54 49 Iota Orion
05 35 39 -05 24 49 Theta 2 Orion
05 38 57 -02 35 51 Sigma Orion
05 41 03 -01 56 52 Zeta Orion
05 44 43 -22 26 53 Gamma Lepus
06 00 02 +37 13 00 Theta Auriga
06 24 04 +04 35 50 Epsilon Monoceros
06 28 57 -07 02 13 Beta Monceros
06 46 38 +59 26 40 12 Lynx
06 58 48 -28 58 25 Epsilon Canis Major
07 20 24 +21 58 26 Delta Gemini
07 23 18 +55 16 25 19 Lynx
07 34 55 +31 52 20 Alpha Gemini
07 39 00 -26 48 42 Kappa Puppis
08 12 29 +17 38 05 Zeta Cancer
08 47 00 +28 44 53 Iota Cancer
09 19 07 +36 46 44 38 Lynx
10 08 40 +11 56 31 Alpha Leo
10 20 16 +19 49 29 Gamma Leo
10 55 52 +24 43 24 54 Leo
11 32 33 -29 17 39 N Hydra
12 30 10 -16 32 39 Delta Corvus
12 35 21 +18 21 21 24 Coma Berenices
12 41 57 -01 28 39 Gamma Virgo
12 49 15 +83 23 22 32 Camelopardalis
12 56 14 +38 17 23 Alpha Canus Venatic
13 24 06 +54 54 26 Zeta Ursa Major
14 13 41 +51 45 36 Kappa Bootes
14 16 23 +51 20 37 Iota Bootes
14 40 56 +16 23 43 Pi Bootes
14 45 13 +27 02 45 Epsilon Bootes
14 51 11 -16 03 14 Alpha Libra
14 51 38 +19 04 47 Xi Bootes
15 15 42 +33 17 54 Delta Bootes
15 24 41 +37 21 57 Mu Bootes
15 35 02 +10 31 01 Delta Serpens
15 39 35 +36 37 02 Zeta Cor Borealis
16 04 41 -11 22 48 Xi Scorpius
16 04 41 -11 27 48 Struve 1999
16 05 41 -19 48 48 Beta Scorpius
16 08 20 +17 02 13 Kappa Hercules
16 12 17 -19 28 45 Nu Scorpius
16 14 53 +33 51 16 Sigma Cor Borealis
16 36 19 +52 54 24 16/17 Draco
17 05 24 +54 27 36 Mu Draco
17 14 50 +14 22 40 Alpha Hercules
17 15 12 +24 49 40 Delta Hercules
17 15 37 -26 36 19 36 Ophiuchus
17 18 18 -24 17 18 Omicron Ophiuchus
17 23 52 +37 08 44 Rho Hercules
17 32 18 +55 10 48 Nu Draco
17 41 49 +72 08 52 Psi Draco
17 59 49 +80 00 00 40/41 Draco
18 01 43 +21 36 01 95 Hercules
18 05 45 +02 30 02 70 Ophiuchus
18 44 28 +39 40 19 Epsilon Lyra
18 44 58 +37 36 19 Zeta Lyra
18 50 17 +33 22 22 Beta Lyra
18 51 02 +10 59 22 Struve 2404
18 55 05 +33 58 24 Otto Struve 525
18 56 27 +04 12 24 Theta Serpens
19 30 54 +27 58 39 Beta Cygnus
19 54 52 -08 13 12 57 Aquila
20 13 45 +46 44 55 31 Cygnus
20 18 23 -12 32 03 Alpha Capricornus
20 21 17 -14 46 02 Beta Capricornus
20 46 56 +16 08 07 Gamma Delphinus
21 07 06 +38 46 13 61 Cygnus
21 28 46 +70 35 19 Beta Cepheus
21 39 09 +57 30 22 Struve 2816
21 44 27 +09 53 23 Epsilon Pegasus
22 03 57 +64 39 28 Xi Cepheus
22 29 03 +00 00 32 Zeta Aquarius
22 29 23 +58 26 32 Delta Cepheus
22 36 07 +39 39 34 8 Lacerta
23 19 22 -13 26 21 94 Aquarius
23 59 15 +55 46 40 Sigma Cassiopeia
