04 43 14 +36 07 33 PK166- 6.1PLNNB
04 46 25 +31 23 32 Pal 2 GLOCL13.0
04 51 27 +43 42 30 NGC 1664 OPNCL07.6
04 55 31 +30 35 28 B 26-8 DRKNB
04 56 01 +30 33 28 vdB 31 BRTNB
04 57 19 +28 47 27 Czernik 19OPNCL
05 01 28 +43 48 25 Berk 14 OPNCL
05 03 34 +44 27 25 Berk 15 OPNCL
05 03 53 +49 30 24 NGC 1724 OPNCL
05 04 56 +34 50 24 Do 15 OPNCL
05 06 31 +31 44 23 B 29 DRKNB
05 06 57 +39 08 23 PK167- 0.1PLNNB16.6
05 08 26 +37 03 23 NGC 1778 OPNCL07.7
05 08 25 +30 48 23 PK173- 5.1PLNNB12.0
05 08 51 +39 05 22 King 17 OPNCL
05 11 42 +52 04 21 NGC 1790 NONEX
05 11 59 +47 40 21 NGC 1798 OPNCL
05 14 56 +32 43 20 Do 16 OPNCL
05 16 32 +34 16 19 IC 405 BRTNB
05 17 33 +42 12 19 Sh2-223 SNREM
05 18 06 +53 33 18 UGC 3273 GALXY14.3
05 18 32 +37 36 18 IC 2120 PLNNB12.0
05 20 27 +39 28 17 Czernik 20OPNCL
05 20 33 +39 21 17 NGC 1857 OPNCL 7
05 20 55 +30 36 17 Berk 17 OPNCL14.0
05 22 34 +45 24 16 Berk 18 OPNCL14.0
05 22 51 +41 00 16 Cr 62 OPNCL04.2
05 22 56 +33 31 16 IC 410 BRTNB
05 23 02 +33 24 16 NGC 1893 OPNCL07.5
05 23 16 +45 28 16 King 22 OPNCL
05 24 25 +29 36 16 Berk 19 OPNCL11.4
05 24 26 +33 18 16 Do 18 OPNCL
05 25 14 +32 39 15 Berk 69 OPNCL
05 26 03 +41 54 15 Berk 70 OPNCL
05 26 16 +46 33 15 NGC 1883 OPNCL12.0
05 27 08 +36 00 14 Czernik 21OPNCL
05 27 40 +42 59 14 Sh2-224 SNREM
05 27 56 +34 25 14 Stock 8 OPNCL
05 28 20 +35 19 14 NGC 1907 OPNCL08.2
05 28 26 +34 26 14 IC 417 BRTNB
05 28 56 +33 47 14 Do 20 OPNCL
05 29 02 +35 50 14 NGC 1912 OPNCL06.4
05 29 20 +36 02 14 PK172+ 0.1PLNNB
05 31 44 +34 15 12 NGC 1931 CL+NB10.1
05 36 26 +34 08 10 NGC 1960 OPNCL 6
05 38 02 +31 59 10 NGC 1985 PLNNB12.5
05 39 21 +37 56 09 Stock 10 OPNCL
05 39 44 +35 56 09 Sh2-231 BRTNB
05 41 26 +35 52 08 Sh2-235 BRTNB
05 42 08 +32 23 08 Berk 71 OPNCL
05 42 23 +49 40 08 3C 147 QUASR15.0
05 43 50 +32 39 07 B 34 DRKNB
05 44 49 +55 48 07 NGC 2013 NONEX
05 48 49 +30 13 05 Basel 4 OPNCL09.1
05 49 44 +33 38 05 King 8 OPNCL11.2
05 50 43 +28 56 04 Czernik 23OPNCL
05 52 44 +32 33 03 NGC 2099 OPNCL05.6
05 56 40 +46 07 02 IC 2149 PLNNB10.0
06 02 56 +36 07 59 PK173+ 3.1PLNNB
06 03 23 +49 53 59 NGC 2126 OPNCL10.2
06 04 25 +30 14 58 Sh2-241 BRTNB
06 11 30 +51 40 55 NGC 2165 NONEX
06 15 33 +39 50 53 NGC 2192 OPNCL10.9
06 22 54 +51 54 50 NGC 2208 GALXY12.8
06 30 51 +39 28 47 UGC 3475 GALXY14.2
06 33 14 +35 11 46 NGC 2240 NONEX
06 34 22 +44 45 45 NGC 2242 PLNNB14.5
06 49 39 +41 03 39 NGC 2281 OPNCL05.4
06 56 34 +45 29 36 NGC 2303 GALXY12.6
07 29 20 +36 51 22 NGC 2387 GALXY15.5
