00 07 52 +64 59 40 PK118+ 2.1PLNNB12.9
03 16 42 +60 03 06 Stock 23 OPNCL
03 17 30 +58 37 05 Czernik 14OPNCL
03 28 29 +56 28 02 King 6 OPNCL
03 29 37 +59 58 01 vdB 14 BRTNB
03 30 30 +58 55 01 vdB 15 BRTNB
03 39 52 +66 32 58 Berk 10 OPNCL12.0
03 45 51 +76 38 56 IC 334 GALXY12.3
03 47 17 +68 06 55 IC 342 GALXY12.0
03 48 13 +59 03 55 Tombaugh 5OPNCL08.4
03 48 55 +70 08 54 UGC 2855 GALXY12.9
03 53 38 +62 07 53 Czernik 17OPNCL
03 56 29 +53 12 52 Sh2-205 BRTNB
04 01 00 +68 34 50 NGC 1469 GALXY12.7
04 05 38 +71 00 48 NGC 1485 GALXY12.6
04 07 26 +60 55 47 NGC 1501 PLNNB12.0
04 08 09 +62 20 47 NGC 1502 OPNCL06.9
04 08 19 +69 49 47 IC 356 GALXY10.5
04 13 43 +56 57 45 PK147+ 4.1PLNNB13.7
04 19 25 +58 18 43 IC 361 OPNCL11.7
04 19 24 +55 03 43 B 8,9,11,1DRKNB
04 20 05 +53 16 42 Mayer 2 OPNCL
04 20 11 +53 06 42 PK151+ 2.1BRTNB
04 24 09 +75 18 41 NGC 1530 GALXY11.4
04 26 14 +60 07 40 PK146+ 7.1PLNNB15.8
04 30 24 +54 17 38 B 12 DRKNB
04 31 23 +64 50 38 NGC 1569 GALXY11.0
04 33 22 +71 52 37 NGC 1560 GALXY11.4
04 35 36 +73 15 36 NGC 1573 GALXY11.7
04 45 04 +75 39 32 NGC 1530A GALXY12.3
04 47 00 +76 26 32 UGC 3137 GALXY14.2
04 48 27 +74 55 31 UGC 3144 GALXY14.4
04 49 01 +73 28 31 NGC 1573A GALXY14.5
04 56 48 +52 45 27 Berk 13 OPNCL
04 58 10 +78 11 27 IC 391 GALXY12.7
04 58 32 +68 19 27 IC 396 GALXY12.0
05 03 00 +52 53 25 NGC 1708 NONEX
05 22 37 +73 00 17 Cr 464 OPNCL04.2
05 42 45 +69 23 08 NGC 1961 GALXY11.0
06 05 08 +57 38 58 NGC 2128 GALXY12.6
06 19 12 +78 32 52 NGC 2146A GALXY12.9
06 19 30 +78 20 52 NGC 2146 GALXY10.6
06 42 54 +66 19 42 NGC 2253 OPNCL
06 47 51 +74 12 40 NGC 2256 GALXY12.5
06 48 27 +74 28 39 NGC 2258 GALXY11.9
06 56 03 +69 34 36 UGC 3580 GALXY11.8
07 11 10 +75 19 30 NGC 2314 GALXY12.2
07 11 59 +71 49 29 UGC 3697 GALXY12.9
07 15 20 +84 21 28 NGC 2268 GALXY11.5
07 14 55 +73 28 28 UGC 3730 GALXY12.5
07 15 59 +64 52 28 IC 2179 GALXY12.4
07 16 35 +64 42 27 NGC 2347 GALXY12.4
07 24 57 +61 41 24 UGC 3826 GALXY13.5
07 27 57 +80 10 23 NGC 2336 GALXY10.4
07 29 14 +69 03 22 NGC 2363 NONEX
07 29 26 +69 12 22 NGC 2366 GALXY11.1
07 30 50 +79 51 22 IC 467 GALXY12.6
07 37 17 +65 36 19 NGC 2403 GALXY08.5
07 37 35 +65 41 19 NGC 2404 NONEX
07 41 04 +71 39 17 NGC 2408 OPNCL
07 42 10 +64 41 17 MCG +11-10GALXY12.0
07 45 23 +72 47 16 UGC 3975 GALXY13.6
07 47 56 +60 55 15 UGC 4013 GALXY12.6
07 52 29 +73 00 13 NGC 2441 GALXY12.2
07 56 38 +60 17 11 IC 2209 GALXY13.7
07 56 55 +77 59 11 NGC 2336A GALXY14.0
07 57 20 +60 20 11 NGC 2460 GALXY11.8
08 04 47 +74 02 08 NGC 2523A GALXY13.8
08 07 30 +80 06 07 UGC 4173 GALXY14.8
08 12 09 +76 25 06 UGC 4238 GALXY12.7
08 13 34 +73 33 05 NGC 2523B GALXY13.9
08 15 40 +73 33 04 NGC 2523 GALXY11.9
08 18 16 +73 17 03 NGC 2523C GALXY12.9
08 22 16 +73 58 02 NGC 2544 GALXY12.9
08 25 10 +74 00 01 NGC 2550 GALXY12.8
08 25 21 +73 24 01 NGC 2551 GALXY12.1
08 28 21 +73 30 00 UGC 4390 GALXY14.2
08 29 10 +73 43 59 NGC 2550A GALXY12.7
08 38 04 +78 00 56 NGC 2591 GALXY12.3
08 48 32 +73 30 53 IC 2389 GALXY13.4
08 48 39 +74 04 53 NGC 2633 GALXY12.2
08 48 57 +73 56 53 NGC 2634 GALXY12.0
08 48 56 +73 38 53 NGC 2636 GALXY13.8
08 49 09 +73 54 53 NGC 2634A GALXY13.6
08 50 56 +73 26 52 NGC 2646 GALXY12.1
08 53 48 +76 28 51 MCG +13-07GALXY12.0
08 54 14 +73 27 51 IC 520 GALXY11.7
08 56 14 +78 11 51 NGC 2655 GALXY10.1
08 56 15 +78 23 51 NGC 2653 ASTER
09 05 08 +85 28 48 IC 512 GALXY12.2
09 08 43 +78 03 47 NGC 2715 GALXY11.2
09 14 03 +79 10 45 NGC 2732 GALXY11.9
09 14 16 +76 27 45 NGC 2748 GALXY11.7
09 15 19 +74 12 45 UGC 4841 GALXY12.4
09 16 15 +76 21 44 NGC 2760 NONEX
09 19 00 +73 44 44 IC 529 GALXY11.9
11 43 18 +77 22 20 NGC 3901 GALXY13.7
12 08 38 +76 47 20 NGC 4127 GALXY12.6
12 33 02 +82 31 21 IC 3568 PLNNB11.6
13 38 36 +79 25 29 NGC 5295 GALXY14.9
14 20 41 +80 04 38 NGC 5640 GALXY15.4
