00 01 52 +70 44 40 PK118+ 8.2PLNNB16.7
00 02 52 +67 24 40 Berk 59 OPNCL11.0
00 03 52 +68 37 40 NGC 7822 BRTNB
00 04 58 +67 11 40 Ced 214 BRTNB
00 12 52 +69 12 40 PK119+ 6.1PLNNB18.3
00 13 17 +72 33 40 NGC 40 PLNNB10.7
00 44 55 +85 21 38 NGC 188 OPNCL08.1
03 17 29 +80 50 06 NGC 1184 GALXY12.4
03 21 09 +80 16 04 UGC 2620 GALXY14.2
03 33 57 +79 36 00 Pal 1 GLOCL13.6
05 04 29 +86 13 25 NGC 1544 GALXY13.2
06 57 22 +84 54 36 UGC 3522 GALXY14.2
07 28 57 +85 44 23 NGC 2276 GALXY11.4
07 34 01 +85 42 21 NGC 2300 GALXY11.0
20 24 06 +60 12 59 UGC 11557 GALXY13.2
20 31 30 +60 39 01 NGC 6939 OPNCL07.8
20 34 54 +60 10 03 NGC 6946 GALXY08.8
20 35 10 +64 49 03 NGC 6949 GALXY13.5
20 37 16 +66 07 03 NGC 6951 GALXY10.6
20 37 40 +66 27 04 NGC 6952 NONEX
20 37 58 +65 46 04 NGC 6953 NONEX
20 49 13 +59 33 07 B148-9 DRKNB
20 50 43 +60 19 08 B150 DRKNB
20 56 38 +57 27 10 PK 95+ 7.1PLNNB16.5
21 00 28 +68 11 11 Cr 427 OPNCL13.8
21 00 34 +68 11 11 NGC 7023 CL+NB07.1
21 11 56 +59 58 14 Sh2-129 BRTNB
21 14 37 +61 46 15 B152 DRKNB
21 17 38 +58 37 16 vdB 140 BRTNB
21 19 33 +57 36 17 NGC 7055 NONEX
21 25 39 +57 31 18 Berk 92 OPNCL
21 25 55 +62 49 18 NGC 7076 BRTNB
21 26 31 +62 54 19 PK101- 8.1PLNNB13.2
21 27 39 +57 40 19 PK 98+ 4.1PLNNB15.0
21 32 21 +55 54 20 PK 97+ 3.1PLNNB15.2
21 35 03 +56 44 21 B365 DRKNB
21 37 15 +57 30 21 vdB 142 BRTNB
21 37 12 +68 13 21 vdB 143 BRTNB
21 38 10 +56 15 22 B160 DRKNB
21 39 09 +57 31 22 Tr 37 OPNCL05.1
21 39 15 +57 31 22 IC 1396 CL+NB03.5
21 39 22 +55 47 22 PK 98+ 2.1PLNNB15.9
21 40 27 +57 50 22 B161 DRKNB
21 41 16 +56 20 22 B162 DRKNB
21 41 25 +66 07 22 NGC 7129 CL+NB11.5
21 42 22 +56 43 23 B163 DRKNB
21 42 43 +66 04 23 NGC 7133 BRTNB
21 44 34 +57 13 23 B367 DRKNB
21 46 01 +65 49 24 NGC 7142 OPNCL09.3
21 46 02 +63 40 24 NGC 7139 PLNNB13.5
21 53 51 +62 37 25 NGC 7160 OPNCL06.1
21 57 14 +63 57 26 Berk 93 OPNCL
21 59 04 +58 46 27 B169-71 DRKNB
22 07 06 +72 01 28 Cr 471 OPNCL
22 07 34 +59 11 28 B173-4 DRKNB
22 10 41 +55 26 29 NGC 7226 OPNCL09.6
22 11 46 +58 46 29 Ced 199 BRTNB
22 12 17 +56 59 29 NGC 7234 NONEX
22 12 47 +57 18 29 NGC 7235 OPNCL07.7
22 12 59 +73 21 29 vdB 150 OPNCL
22 13 43 +70 19 30 vdB 152 BRTNB
22 13 43 +70 16 30 vdB 152 OPNCL
22 16 17 +57 30 30 PK103+ 0.1PLNNB
22 18 53 +56 09 31 Sh2-132 BRTNB
22 20 29 +58 15 31 PK104+ 0.1PLNNB17.0
22 20 35 +58 06 31 NGC 7261 OPNCL08.4
22 20 41 +57 37 31 PK103+ 0.2PLNNB15.0
22 22 53 +55 52 31 Berk 94 OPNCL08.7
22 24 53 +57 51 32 NGC 7281 OPNCL
22 28 53 +59 08 32 Berk 95 OPNCL
22 39 42 +59 02 34 Berk 97 OPNCL
22 39 54 +57 25 34 NGC 7352 NONEX
22 40 35 +61 18 34 NGC 7354 PLNNB12.9
22 40 35 +59 54 34 Czernik 42OPNCL
22 42 38 +80 28 35 IC 1454 PLNNB14.8
22 47 12 +58 07 35 NGC 7380 OPNCL07.2
22 49 53 +82 55 36 UGC 12221 GALXY14.0
22 53 06 +58 18 36 King 18 OPNCL
22 54 30 +60 51 36 NGC 7419 OPNCL13.0
22 55 06 +59 11 36 King 10 OPNCL
22 55 30 +57 09 36 NGC 7423 OPNCL
22 56 06 +60 00 36 NGC 7429 OPNCL
22 56 19 +57 09 36 Berk 57 OPNCL
22 56 31 +57 10 36 PK107- 2.1PLNNB14.2
22 57 00 +62 38 36 Sh2-155 BRTNB
23 05 25 +60 16 37 IC 1470 BRTNB
23 08 31 +60 32 38 King 19 OPNCL09.2
23 11 43 +60 35 38 NGC 7510 OPNCL07.9
23 14 25 +61 30 38 NGC 7538 BRTNB
23 15 31 +60 29 38 Mrk 50 OPNCL08.5
23 22 06 +71 47 39 Berk 99 OPNCL
23 27 13 +63 46 39 Berk 100 OPNCL
23 32 07 +70 24 39 PK116+ 8.1PLNNB12.2
23 34 14 +64 14 40 Berk 101 OPNCL
23 34 31 +72 56 40 NGC 7708 NONEX
23 35 44 +64 54 40 PK114+ 3.1PLNNB
23 45 14 +69 46 40 NGC 7748 NONEX
23 48 45 +68 39 40 King 11 OPNCL
23 50 03 +68 03 40 NGC 7762 OPNCL10.0
23 55 21 +76 38 40 vdB 150 BRTNB
23 56 51 +70 50 40 PK118+ 8.1PLNNB
