00 02 15 -15 25 20 MCG -03-01GALXY10.6
00 03 45 -10 43 20 NGC 7808 GALXY13.5
00 04 27 -11 57 20 NGC 7813 GALXY15.0
00 05 27 -20 42 20 NGC 7826 NONEX
00 05 33 -16 27 20 NGC 7821 GALXY
00 06 39 -13 23 20 NGC 7828 GALXY13.9
00 06 39 -13 23 20 NGC 7829 GALXY13.9
00 09 21 -12 06 20 NGC 17 NONEX
00 11 21 -12 04 20 NGC 34 GALXY
00 11 27 -11 58 20 NGC 35 GALXY14.0
00 14 15 -23 09 20 NGC 45 GALXY10.6
00 14 45 -07 09 20 NGC 47 GALXY
00 14 57 -07 19 20 NGC 50 GALXY
00 15 21 -07 06 20 NGC 54 GALXY
00 15 45 -21 25 20 NGC 59 GALXY12.4
00 15 57 -07 09 20 NGC 58 NONEX
00 17 21 -13 26 20 NGC 62 GALXY
00 17 45 -06 49 20 NGC 64 GALXY
00 19 03 -15 19 20 NGC 73 GALXY
00 19 21 -22 52 20 NGC 65 GALXY15.0
00 19 27 -22 55 20 NGC 66 GALXY13.4
00 19 27 -22 40 20 NGC 77 GALXY15.0
00 24 39 -13 55 20 NGC 102 GALXY14.0
00 25 57 -08 15 20 NGC 107 GALXY
00 26 57 -02 36 20 NGC 111 NONEX
00 27 15 -02 28 20 NGC 113 GALXY
00 27 21 -01 45 20 NGC 114 GALXY13.7
00 27 27 +01 20 40 NGC 117 GALXY14.3
00 27 27 -07 40 20 NGC 116 GALXY14.5
00 27 33 -01 45 20 NGC 118 GALXY14.0
00 27 45 -01 29 21 NGC 120 GALXY13.4
00 27 57 -01 36 21 NGC 122 NONEX
00 28 03 -01 34 21 NGC 123 NONEX
00 28 15 -01 47 21 NGC 124 GALXY13.0
00 30 27 +02 06 39 NGC 132 GALXY12.6
00 31 27 -22 35 21 NGC 142 GALXY13.8
00 31 33 -22 32 21 NGC 143 GALXY14.4
00 31 39 -22 37 21 NGC 144 GALXY13.7
00 32 03 -05 08 21 NGC 145 GALXY12.7
00 33 33 -13 20 21 NGC 135 GALXY
00 34 21 -12 37 21 NGC 154 GALXY14.0
00 34 27 -09 40 21 NGC 151 GALXY11.6
00 34 33 -09 41 21 NGC 153 NONEX
00 34 51 -08 19 21 NGC 156 2STAR
00 34 57 -10 44 21 NGC 155 GALXY
00 35 03 -08 22 21 NGC 157 GALXY10.4
00 35 03 -08 17 21 NGC 158 2STAR
00 35 45 -23 20 21 NGC 167 GALXY13.6
00 35 45 -02 48 21 NGC 161 GALXY
00 36 03 -13 35 21 NGC 166 GALXY15.0
00 36 21 -10 06 21 NGC 163 GALXY12.7
00 36 45 -10 06 21 NGC 165 GALXY13.1
00 36 57 -22 34 21 NGC 168 GALXY13.8
00 36 57 +01 52 39 NGC 170 GALXY14.4
00 37 03 -18 28 21 NGC 171 NONEX
00 37 27 +01 57 39 NGC 173 GALXY13.0
00 37 27 -22 34 21 NGC 172 GALXY13.4
00 37 39 -19 54 21 NGC 175 GALXY12.2
00 37 45 -22 32 21 NGC 177 GALXY13.2
00 38 03 -17 51 21 NGC 179 GALXY13.3
00 39 15 -08 59 21 NGC 191 GALXY
00 39 21 -14 09 21 NGC 178 GALXY12.6
00 39 21 -18 36 21 NGC 209 GALXY12.9
00 39 33 +00 52 39 NGC 192 GALXY12.6
00 39 33 +00 55 39 NGC 196 GALXY14.0
00 39 39 +00 54 39 NGC 197 GALXY14.1
00 39 51 -14 39 21 NGC 187 GALXY
00 39 57 +00 52 39 NGC 201 GALXY12.9
00 39 57 -09 10 21 NGC 195 GALXY
00 40 15 -15 08 21 NGC 207 NONEX
00 40 45 -13 51 21 NGC 210 GALXY10.9
00 41 39 -21 01 21 NGC 216 GALXY13.2
00 41 39 -01 41 21 UGC 439 GALXY13.2
00 41 51 -10 00 21 NGC 217 GALXY
00 42 33 +00 55 39 NGC 219 GALXY14.3
00 42 39 -23 36 21 NGC 230 GALXY14.7
00 42 57 -01 30 22 NGC 227 GALXY12.1
00 42 57 +00 52 38 NGC 223 GALXY13.2
00 42 57 -23 32 22 NGC 232 GALXY13.5
00 43 03 -23 31 22 NGC 235 GALXY13.2
00 43 45 -00 06 22 NGC 237 GALXY13.0
00 44 51 -03 44 22 NGC 239 GALXY
00 46 03 -15 33 22 NGC 244 GALXY
00 46 21 -01 42 22 NGC 245 GALXY12.2
00 47 15 -20 43 22 NGC 247 GALXY09.1
00 47 21 -11 51 22 NGC 246 PLNNB08.5
00 48 03 -11 27 22 NGC 255 GALXY11.9
00 48 21 -02 45 22 NGC 259 GALXY
00 49 09 -13 04 22 NGC 263 GALXY14.0
00 50 27 -05 10 22 NGC 268 GALXY13.1
00 50 57 -08 37 22 NGC 270 GALXY
