15 22 19 +27 37 56 Abell 2065GALCL14.0
16 12 42 +29 31 15 Abell 2162GALCL13.7
15 22 06 +31 12 56 NGC 5924 GALXY14.5
15 34 54 +28 39 01 NGC 5958 GALXY12.6
15 35 24 +30 50 01 NGC 5961 GALXY14.1
15 39 12 +31 44 02 NGC 5974 GALXY14.2
15 47 54 +28 37 05 NGC 6001 GALXY14.5
15 48 00 +28 36 05 NGC 6002 NONEX
15 56 06 +26 58 08 NGC 6016 GALXY14.3
16 02 47 +37 20 11 NGC 6038 GALXY13.5
16 07 53 +38 54 13 NGC 6069 GALXY15.5
16 11 18 +26 51 14 NGC 6076 GALXY15.5
16 11 18 +26 55 14 NGC 6077 GALXY13.3
16 12 42 +29 21 15 NGC 6085 GALXY13.0
16 12 42 +29 21 15 NGC 6086 GALXY12.8
16 12 53 +33 01 15 NGC 6089 GALXY15.0
16 12 54 +27 57 15 NGC 6092 GALXY13.2
16 14 54 +26 33 16 NGC 6096 GALXY14.2
16 14 29 +35 05 15 NGC 6097 GALXY15.0
16 15 48 +28 08 16 NGC 6102 GALXY13.8
16 15 54 +31 56 16 NGC 6103 GALXY13.8
16 16 41 +35 41 16 NGC 6104 GALXY13.2
16 17 11 +34 51 16 NGC 6105 GALXY14.3
16 17 23 +34 52 17 NGC 6107 GALXY13.8
16 17 29 +35 06 17 NGC 6108 GALXY14.3
16 17 41 +34 59 17 NGC 6109 GALXY12.7
16 17 47 +35 04 17 NGC 6110 GALXY15.5
16 18 05 +35 05 17 NGC 6112 GALXY13.9
16 18 29 +35 09 17 NGC 6114 GALXY14.2
16 18 59 +35 08 17 NGC 6116 GALXY14.3
16 19 29 +37 04 17 NGC 6117A GALXY14.5
16 19 35 +37 04 17 NGC 6117B GALXY15.0
16 19 53 +37 47 18 NGC 6119 GALXY15.5
16 19 59 +37 45 18 NGC 6120 GALXY13.8
16 20 23 +37 47 18 NGC 6122 GALXY15.0
16 21 35 +36 22 18 NGC 6126 GALXY13.6
16 21 59 +37 58 18 NGC 6129 GALXY14.5
16 22 10 +38 55 18 NGC 6131A GALXY14.0
16 22 10 +38 53 18 NGC 6131B GALXY15.0
16 23 17 +37 55 19 NGC 6137A GALXY14.0
16 23 17 +37 58 19 NGC 6137B GALXY15.0
16 23 35 +37 15 19 NGC 6142 GALXY13.8
