08 16 26 -79 14 22 CCDM 8167-7913
08 22 41 -76 26 49 HD 71972
09 01 52 -76 54 51 HD 78509
09 19 21 -77 39 53 HD 81485
09 25 28 -75 51 01 HD 82260
09 28 11 -78 16 41 HD 82859
09 42 56 -81 21 07 PPM 788806
09 44 48 -75 55 20 HD 85127
09 44 50 -80 31 55 HD 85499
09 54 24 -80 26 43 HD 86838
10 04 09 -76 05 45 HD 87954
10 18 05 -75 49 58 HD 89807
10 28 24 -78 50 08 HD 91327
10 31 50 -81 56 49 HR 4161
10 45 05 -81 35 48 PPM 377258
10 49 52 -82 18 36 SAO 258595
11 17 20 -76 54 49 HD 98374
11 37 26 -83 05 53 HD 101270
11 57 31 -80 31 21 HD 103875
12 01 36 -82 35 02 HD 104433
12 09 04 -76 30 47 HD 105473
12 27 49 -76 41 34 HD 108297
13 09 00 -82 44 52 HD 113478
13 14 19 -77 29 08 HD 114503
13 30 27 -76 35 57 HD 116891
13 33 41 -77 35 42 S Cha
13 40 56 -76 23 40 CP -75 00886
13 42 19 -80 36 04 HIP 66817
13 48 43 -77 40 42 HD 119560
