15 53 55 -25 20 31 2 Sco
16 00 17 -20 25 48 HD 143244
16 02 11 -28 23 15 HIP 78523
16 03 10 -25 01 41 HD 143715
16 04 39 -11 23 11 Grafias
16 05 43 -19 49 08 Graffias
16 05 44 -20 30 24 HD 144219
16 07 16 -27 43 57 HD 144432
16 07 53 -12 45 30 11 Sco
16 08 22 -27 39 13 PPM 732575
16 08 55 -39 06 21 HR 6000
16 09 51 -32 39 42 SAO 207397
16 10 00 -27 54 27 HD 144985
16 10 05 -28 07 59 CD -27 10818
16 10 11 -31 37 01 HD 145010
16 10 31 -40 08 30 HD 144965
16 12 09 -27 33 56 HD 145408
16 12 17 -19 28 24 Jabbah
16 12 35 -28 25 47 12 Sco
16 12 44 -14 00 07 HD 145608
16 14 04 -24 26 05 HR 6042
16 14 33 -10 25 37 HD 145996
16 15 03 -38 39 28 HD 145839
16 15 03 -39 08 35 HD 145840
16 17 47 -34 49 52 HD 146368
16 18 08 -12 27 32 HD 146661
16 19 52 -30 55 07 HR 6077
16 19 52 -29 57 38 HD 146852
16 20 23 -20 04 05 HD 147010
16 20 30 -18 25 27 ADS 10002
16 20 48 -20 07 46 SAO 159864
16 20 53 -39 26 31 HR 6080
16 21 29 -25 36 16 Alniyat
16 21 28 -29 58 45 HD 147138
16 22 37 -22 38 56 HD 147356
16 23 14 -31 05 08 HD 147386
16 24 06 -41 15 31 HD 147435
16 24 16 -33 12 39 HD 147553
16 24 59 -29 42 57 HR 6106
16 25 16 -37 55 34 HD 147704
16 26 21 -31 14 50 HIP 80504
16 26 29 -34 59 41 HD 147938
16 27 16 -35 50 43 HD 148042
16 29 10 -30 17 34 HD 148396
16 29 42 -26 26 34 Antares
16 31 05 -28 20 50 HD 148671
16 31 50 -39 01 22 HD 148704
16 32 03 -41 49 40 HR 6142
16 33 19 -33 32 34 HD 148950
16 34 59 -28 22 28 HD 149254
16 35 11 -26 12 05 HD 149289
16 38 42 -25 14 11 HD 149867
16 38 47 -43 24 29 HR 6174
16 39 25 -37 13 38 HR 6178
16 39 51 -34 12 56 HD 149982
16 40 31 -28 00 25 HIP 81619
16 40 44 -39 55 58 HD 150070
16 40 52 -34 18 46 HD 150150
16 42 21 -43 24 58 HD 325957
16 43 02 -42 53 39 HD 150399
16 44 15 -41 07 21 HR 6209
16 44 36 -27 27 55 HR 6216
16 44 47 -42 24 07 HD 150674
16 44 58 -44 58 19 HD 328736
16 45 14 -39 12 58 HD 150771
16 48 08 -33 11 48 HD 151273
16 48 14 -40 58 54 HD 151211
16 48 31 -36 53 33 HD 151315
16 48 35 -28 45 25 HD 151394
16 51 10 -45 32 12 HD 151644
16 51 20 -37 31 22 HR 6244
16 51 59 -32 32 52 HD 151906
16 52 35 -36 02 01 HD 151983
16 52 34 -25 36 31 HD 152071
16 54 23 -41 48 51 HR 6260
16 54 28 -41 51 35 CCDM 16541-4151
16 54 31 -41 49 58 HD 152248
16 54 47 -41 50 24 HD 326331
16 55 11 -42 01 53 CD -41 11062
16 55 16 -41 04 25 HD 152385
16 55 28 -31 24 37 HD 152521
16 55 53 -45 20 26 HD 152438
16 56 29 -37 11 45 HD 152637
16 56 33 -31 31 36 HD 152700
16 57 16 -40 31 11 HD 152723
16 57 20 -38 26 27 HD 152767
16 58 26 -30 13 25 HD 153002
16 59 15 -39 33 57 HD 153026
