02 37 22 +89 17 10 Polaris
09 24 55 +88 32 56 HD 66368
10 38 01 +86 01 54 SAO 1724
12 00 26 +86 58 00 HD 104147
12 28 09 +88 38 54 HD 111162
13 04 59 +72 59 54 HR 4950
13 06 35 +76 16 05 SAO 7748
13 10 18 +73 56 32 HD 114743
13 32 09 +71 41 29 SAO 7837
13 36 50 +69 45 05 HIP 66388
13 40 44 +76 49 07 HD 119702
13 55 02 +78 22 31 HD 122189
14 06 37 +70 56 12 HD 123803
14 06 42 +66 11 43 PPM 18868
14 17 43 +76 46 24 HIP 69852
14 17 54 +69 17 27 PPM 18947
14 20 01 +67 45 35 HD 126028
14 21 14 +67 46 48 HD 126228
14 26 36 +70 17 29 HD 127242
14 27 32 +75 40 26 5 UMi
14 28 34 +73 01 58 HD 127713
14 29 48 +82 15 44 SAO 2400
14 31 08 +76 32 36 HD 128421
14 32 09 +80 19 08 SAO 2405
14 32 18 +67 53 27 PPM 19059
14 32 35 +85 54 59 HD 131616
14 50 27 +67 49 21 PPM 19188
14 52 58 +78 09 23 HD 132698
14 53 38 +69 44 33 HD 132188
14 54 56 +81 05 33 SAO 2467
14 55 44 +85 01 24 SAO 2484
14 56 50 +70 48 47 HD 132844
14 56 46 +74 52 51 HD 133086
14 56 43 +85 28 13 SAO 2492
14 58 24 +71 07 16 HD 133141
15 09 17 +72 26 08 HD 135319
15 17 17 +71 11 35 HD 136727
15 19 56 +66 59 52 HD 137049
15 25 33 +67 02 08 SAO 16732
15 28 56 +80 25 54 HR 5829
15 29 27 +67 11 15 HD 138684
15 32 08 +81 02 10 SAO 2568
15 32 23 +76 45 25 HD 139797
15 47 04 +83 15 31 HD 144060
15 47 26 +73 55 57 SAO 8341
15 57 06 +76 27 53 SAO 8383
15 59 52 +76 14 33 PPM 9069
16 00 11 +73 55 18 HD 144652
16 04 48 +70 14 54 HD 145309
16 08 59 +72 32 45 SAO 8438
16 17 37 +80 39 41 SAO 2694
16 21 25 +76 19 21 BD +76 00605
16 26 10 +76 28 38 SAO 8524
16 40 25 +82 21 19 SAO 2757
16 39 55 +86 02 04 SAO 2777
16 42 53 +77 30 17 HR 6267
16 55 37 +86 50 14 HD 160010
16 58 33 +76 06 07 SAO 8679
17 38 26 +84 02 15 SAO 2936
18 02 30 +88 15 15 SAO 3084
21 30 09 +86 53 39 HD 207929
