11 31 56 -66 00 39 PK294- 4.1PLNNB
11 39 26 -68 53 40 PK296- 6.1PLNNB
11 50 39 -64 55 40 IC 2966 BRTNB
12 04 28 -67 19 40 NGC 4071 PLNNB
12 26 06 -72 41 40 NGC 4372 GLOCL07.8
12 30 17 -64 49 39 NGC 4463 OPNCL07.2
12 38 12 -68 29 39 Harvard 6OPNCL10.7
12 54 13 -65 22 37 vdB-Ha 140OPNCL
12 58 19 -64 58 37 NGC 4815 OPNCL08.6
12 59 56 -70 54 37 NGC 4833 GLOCL07.4
13 08 50 -67 39 36 IC 4191 PLNNB12.0
13 19 09 -67 13 34 Harvard 8OPNCL09.5
13 20 56 -64 58 34 Ru 107 OPNCL09.7
13 22 57 -66 08 34 Cr 269 OPNCL09.2
13 34 09 -66 01 32 NGC 5189 PLNNB10.3
13 39 52 -67 24 31 PK307- 4.1PLNNB12.9
13 45 48 -71 30 30 PK307- 9.1PLNNB
13 49 04 -66 06 29 Cr 277 OPNCL09.2
13 52 47 -66 24 28 PK309- 4.1PLNNB16.1
