04 45 22 +46 49 32 Sh 2-216 100*100
17 38 13 +66 53 37 RE 1738+665 ~60
08 27 25 +31 29 09 Ton 320 ~30
05 59 42 +10 41 41 WDHS 1 WeDe 1 22*17
06 19 59 +55 36 34 PuWe 1 20*20
22 29 55 -20 48 42 NGC7293 Helix 18*18
08 54 29 +08 52 50 A 31 17*16
22 13 32 +65 55 25 IsWe 2 16*14
12 53 57 -22 53 19 A 35 16*11
03 04 15 +64 54 38 HFG 1 15*15
21 17 05 +24 10 07 A 74 15*13
19 59 49 +22 43 51 NGC 6853 15*12
05 03 22 -15 35 48 A 7 15*11
23 48 33 +80 57 40 Sh 2-174 15*10
03 49 28 +50 01 09 IsWe 1 13*13
00 32 10 +57 24 12 Sh 2-176 13*11
09 53 17 +13 43 26 EGB 6 13*11
21 19 12 +34 41 16 MWP 1 13*9
07 29 20 +13 13 52 A 21 12*9
15 21 56 +52 21 01 Jacoby 1 11*11
19 03 22 +14 07 25 CTSS 3S h 2-78 11*9
03 27 36 +45 25 21 HW 4 HDW 3 9*9
22 19 41 +70 57 32 De Ht 5 DHW 5 9*9
12 55 49 +25 51 51 LoTr 5 9*8
01 31 00 +58 23 32 Simeiz 22 Sh 2-188 9*8
