00 09 36 -27 57 38 6.1,6.2 1.4 261 kappa-1 Scl
00 54 51 +19 12 55 6.2,6.9 0.51 194 66 Psc
00 55 14 +23 39 19 6.0,6.4 0.89 309 36 And
01 20 03 +00 32 04 6.3,7.0 1.6 16 42 Cet
01 36 19 +07 40 14 7.3,7.3 v 1.6 57 HD 9817
01 52 19 +10 50 04 7.8,7.8 3 204 HD 11386
01 53 48 +19 19 04 4.8,4.8 7.6 0 gamma Ari
01 59 36 +24 51 09 8.0,8.3 v 1.2 277 HD 12101
02 04 14 +42 21 20 5.5,6.3 0.47 105 gamma And BC
02 06 32 +25 07 55 8.0,8.5 v 1.9 161 HD 12824
02 34 22 -05 36 48 7.8,8.0 3.6 346 HD 15994
02 41 24 +18 49 16 7.7,8.0 3.3 119 HD 16694
02 59 10 +21 38 17 7.5,7.5 0.51 265 HD 18484
02 59 30 +21 21 35 5.2,5.5 1.4 209 epsilon Ari
03 34 45 +24 28 53 6.6,6.7 0.7 358 7 Tau
04 33 50 +18 01 37 7.0,7.1 3 277 HD 28867
05 10 38 +37 18 28 6.7,7.0 1.6 221 HD 33203
05 13 48 +01 58 26 6.9,7.1 0.6 238 HD 33883
05 54 40 +18 54 02 8.0,8.0 3 149 HD 39588
06 08 47 +13 58 14 7.4,8.0 2.5 109 HD 41943, in NGC 2169
06 23 07 +17 34 14 7.3,8.3 2.1 18 HD 44496
06 46 40 +59 26 10 5.4,6.0 1.8 74 12 Lyn
06 47 41 +18 11 15 6.8,7.0 0.32 218 HD 49059
06 48 37 +55 41 57 6.3,6.3 4.6 257 HD 48766/7
07 13 08 +27 12 59 7.2,7.2 1.1 314 HD 55130
07 20 46 +00 23 38 7.4,7.8 0.65 173 HD 57275
07 34 49 +12 17 38 8.4,9.1 1.7 99 HD 60355
07 40 03 +05 15 42 9.2,9.3 0.83 186 HD 61502
07 40 23 +05 13 12 6.6,6.9 0.9 169 HD 61563
07 52 58 +03 22 13 7.0,7.5 v 0.94 14 HD 64165
08 12 30 +17 37 59 5.6,6.0 0.84 83 zeta Cnc AB
08 54 33 +30 33 33 6.0,6.5 1.5 312 57 Cnc
08 55 45 -07 59 27 6.7,6.9 3.9 3 17 Hya
09 18 44 +35 20 32 6.4,6.7 1.8 49 HD 80024
